ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
54,0.001,0.000,0.032,0.001,<frozen importlib._bootstrap_external>:1240(_get_spec)
54,0.000,0.000,0.032,0.001,<frozen importlib._bootstrap_external>:1272(find_spec)
64,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1325(<genexpr>)
8,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1319(__init__)
39,0.000,0.000,0.016,0.000,<frozen importlib._bootstrap_external>:1339(find_loader)
44,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:1351(_get_spec)
126,0.004,0.000,0.045,0.000,<frozen importlib._bootstrap_external>:1356(find_spec)
8,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1433(<setcomp>)
8,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:1404(_fill_cache)
8,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
1,0.000,0.000,0.000,0.000,C:\Python\lib\codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\codecs.py:309(__init__)
30,0.000,0.000,0.000,0.000,C:\Python\lib\codecs.py:319(decode)
6,0.000,0.000,0.000,0.000,C:\Python\lib\abc.py:7(abstractmethod)
8,0.000,0.000,0.001,0.000,C:\Python\lib\abc.py:125(__new__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\abc.py:130(register)
133,0.000,0.000,0.000,0.000,C:\Python\lib\abc.py:137(__instancecheck__)
11/1,0.000,0.000,0.000,0.000,C:\Python\lib\abc.py:141(__subclasscheck__)
2,0.000,0.000,0.000,0.000,C:\Python\lib\os.py:673(__getitem__)
2,0.000,0.000,0.000,0.000,C:\Python\lib\os.py:737(check_str)
2,0.000,0.000,0.000,0.000,C:\Python\lib\os.py:743(encodekey)
22,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:45(__init__)
726,0.000,0.000,0.001,0.000,C:\Python\lib\ntpath.py:34(_get_bothseps)
12,0.000,0.000,0.000,0.000,C:\Python\lib\ntpath.py:44(normcase)
116,0.000,0.000,0.001,0.000,C:\Python\lib\ntpath.py:67(isabs)
476,0.002,0.000,0.005,0.000,C:\Python\lib\ntpath.py:75(join)
1707,0.004,0.000,0.006,0.000,C:\Python\lib\ntpath.py:122(splitdrive)
610,0.004,0.000,0.008,0.000,C:\Python\lib\ntpath.py:178(split)
527,0.001,0.000,0.004,0.000,C:\Python\lib\ntpath.py:201(splitext)
162,0.000,0.000,0.003,0.000,C:\Python\lib\ntpath.py:212(basename)
438,0.000,0.000,0.005,0.000,C:\Python\lib\ntpath.py:219(dirname)
26,0.000,0.000,0.000,0.000,C:\Python\lib\ntpath.py:450(normpath)
12,0.000,0.000,0.000,0.000,C:\Python\lib\ntpath.py:523(abspath)
98,0.000,0.000,0.007,0.000,C:\Python\lib\genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,C:\Python\lib\genericpath.py:27(isfile)
527,0.001,0.000,0.003,0.000,C:\Python\lib\genericpath.py:117(_splitext)
8,0.000,0.000,0.000,0.000,C:\Python\lib\types.py:164(__get__)
11,0.000,0.000,0.000,0.000,C:\Python\lib\_collections_abc.py:392(__subclasshook__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\_collections_abc.py:657(get)
1,0.000,0.000,0.000,0.000,C:\Python\lib\_collections_abc.py:664(__contains__)
2,0.000,0.000,0.000,0.000,C:\Python\lib\_collections_abc.py:816(clear)
1,0.000,0.000,0.000,0.000,C:\Python\lib\warnings.py:130(filterwarnings)
39,0.000,0.000,0.000,0.000,C:\Python\lib\warnings.py:165(simplefilter)
40,0.000,0.000,0.000,0.000,C:\Python\lib\warnings.py:181(_add_filter)
39,0.000,0.000,0.000,0.000,C:\Python\lib\warnings.py:453(__init__)
39,0.000,0.000,0.000,0.000,C:\Python\lib\warnings.py:474(__enter__)
39,0.000,0.000,0.000,0.000,C:\Python\lib\warnings.py:493(__exit__)
1267,0.048,0.000,0.060,0.000,C:\programs\python\projects\excercises\game\pygtest.py:54(update)
